,ID,done,Name,rss,tags,region,status,notes,last_scraped,total_scraped,element_name,attribute_name,attribute_content,URL,Projects
118,33745,done,Air Liquide,https://www.airliquide.com/rss/event/all/all/41/all/feed,,,,,,,div,class,cell-8 js-text-zoom,http://influencemap.org/company/Air-Liquide,Climate Change
119,33842,done,Mitsui Chemicals,https://jp.mitsuichemicals.com/en/release/release.rdf,,,,,,,div,class,mod-sideContent-inner,http://influencemap.org/company/Mitsui-Chemicals,"Climate Change, Energy Strategy"
120,33939,done,The Linde Group,,,,,,,,,,,http://influencemap.org/company/The-Linde-Group,Climate Change
121,34036,done,LafargeHolcim,https://www.lafargeholcim.com/rss/press-release.xml,,,,,,,div,id,content,http://influencemap.org/company/LaFarge-dc3eac7b23effb94f94b9d57661e5e04,"Climate Change, Cement Sector Analysis"
122,51816,done,Shinetsu Chemicals,,,,,,,,,,,http://influencemap.org/company/Shinetsu-Chemicals,"Climate Change, Energy Strategy"
123,61168,done,Johnson Matthey,,,,,,,,,,,http://influencemap.org/company/Johnson-Matthey,Climate Change
124,61265,done,Nitto Denko,,,,,,,,,,,http://influencemap.org/company/Nitto-Denko,Climate Change
125,63280,done,Ashland,https://investor.ashland.com/rss/news-releases.xml?items=15,,,,,,,div,class,node__content,http://influencemap.org/company/Ashland-2505a2c1f974d84349dccd4fa03a4aea,Climate Change
126,63377,done,PTT Global Chemicals,,,,,,,,,,,http://influencemap.org/company/PTT-Global-Chemicals,Climate Change
127,63474,done,PPG Industries,https://news.ppg.com/rss/pressrelease.aspx,,,,,,,div,class,pane pane--content,http://influencemap.org/company/PPG-Industries,Climate Change
128,80217,done,Valero Energy,,,,,,,,,,,http://influencemap.org/company/Valero-Energy,Climate Change
129,80767,done,RWE,,,,,,,,,,,http://influencemap.org/company/RWE-5dfd3548a08b9f9d54ee6396b6650ace,"Climate Change, UK Power Sector"
130,80897,done,ConocoPhillips,,,,,,,,,,,http://influencemap.org/company/Conoco-Phillips,"Climate Change, Oil and Gas Sector Analysis, Subsidies"
131,81192,done,Air Products,https://investors.airproducts.com/rss/news-releases.xml,,,,,,,article,role,article,http://influencemap.org/company/Air-Products,Climate Change
132,81193,done,Alibaba,https://www.alibabagroup.com/en/ir/rss.php,,,,,,,div,class,articleMain,http://influencemap.org/company/Alibaba-5638e42adae4baff49683f078789ac75,Climate Change
